idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728200E3624600;1;37104;-1;0.77687806;47.277416;12;5.4;0;1.3;0.4;5.4;0.7;349057.1;670.7;0;5.4;1.5;0.4;2.4;1.1;0;0;0.2;0;0.5;0.6;0.6;2;2.2;3;2.2;0.7;0
CRS3035RES200mN2728200E3624800;0;37104;-1;0.77950317;47.27764;46;17;2;4;1;17;0;1269936.2;2016;0;17;1;4;2;10;0;0;2;0;6;7;1;10;8;9;3;0;0
CRS3035RES200mN2728200E3625000;1;37104;-1;0.78212833;47.277863;4;1.5;0.1;0.2;0.2;1.3;0.1;104558.6;195.9;0;1.5;0.7;0.2;0.4;0.2;0;0;0.1;0;0.2;0.5;0.4;0.4;0.9;0.5;0.7;0.3;0
CRS3035RES200mN2728200E3625200;1;37104;-1;0.7847535;47.278088;29;10.9;0.5;1.7;1.2;9.4;0.7;758049.7;1420;0;10.9;5.3;1.2;2.9;1.5;0;0;1;0.2;1.5;3.1;2.9;2.9;6.5;3.4;5.1;2.4;0
CRS3035RES200mN2728200E3625400;1;37104;-1;0.78737867;47.278313;24;9;0.4;1.4;1;7.8;0.6;627351.5;1175.2;0;9;4.4;1;2.4;1.2;0;0;0.8;0.2;1.2;2.6;2.4;2.4;5.4;2.8;4.2;2;0
CRS3035RES200mN2728200E3626400;0;37104;-1;0.8005049;47.279427;28;13;2;5;0;13;0;849564;1287;0;13;0;0;13;0;0;0;2;0;1;2;1;3;4;5;7;3;0
CRS3035RES200mN2728200E3626600;0;37104;-1;0.80313027;47.27965;44;18;1;3;1;17;0;1178391.3;2057;0;18;0;0;18;0;0;0;0;0;2;5;4;5;8;8;11;1;0
CRS3035RES200mN2728200E3626800;1;37104;-1;0.80575556;47.279873;4;1.5;0;0.1;0;1.5;0;117278.9;204;0;1.5;0.3;0;0.8;0.4;0;0;0.3;0.3;0.4;0.3;0;0.5;0.8;0.5;0.6;0.3;0
CRS3035RES200mN2728200E3627000;1;37104;-1;0.80838096;47.280098;4;1.8;0;0.4;0;1.7;0;110425.2;225.7;0;1.8;0;0.1;1.2;0.5;0;0;0.1;0.1;0.3;0.2;0.1;0.7;0.6;0.6;0.9;0.4;0
CRS3035RES200mN2728200E3627400;1;37104;-1;0.8136317;47.280544;3;1.3;0;0.3;0;1.3;0;82818.9;169.2;0;1.3;0;0.1;0.8;0.4;0;0;0.1;0.1;0.2;0.1;0.1;0.5;0.5;0.4;0.7;0.3;0
